var temp_adv_data = `one_position,int_process,predicted,lower,upper,Class_Group,Class_Grp_Lvl,Dept_Code,Language,Region_NCR
0,0,499.5043963,368.7557212,676.6122599,Multi,CR04,ANY,ANY,ANY
0,0,393.9084514,296.5379919,523.2512269,Multi,CR05,ANY,ANY,ANY
0,0,218.4441806,169.0531587,282.2654152,Multi,EC04,ANY,ANY,ANY
0,0,266.7168582,208.584137,341.0512585,Multi,EC05,ANY,ANY,ANY
0,0,85.81237505,55.69025169,132.227158,Multi,EN04,ANY,ANY,ANY
0,0,154.3807053,105.3840077,226.1576752,Multi,EN05,ANY,ANY,ANY
0,0,473.2967902,307.8683235,727.6157842,Multi,FI02,ANY,ANY,ANY
0,0,678.3248745,433.130431,1062.3235,Multi,FI03,ANY,ANY,ANY
0,0,37,7.577064257,180.6768365,Multi,GS02,ANY,ANY,ANY
0,0,33,6.731193658,161.784084,Multi,HS02,ANY,ANY,ANY
0,0,182.0769965,60.26304066,550.1221361,Multi,NB07,ANY,ANY,ANY
0,0,192.1441265,119.6151276,308.6513061,Multi,PC03,ANY,ANY,ANY
0,0,103.8923112,55.13333082,195.7729049,Multi,PG06,ANY,ANY,ANY
0,0,583.8667777,439.3042569,776.0007072,Multi,PM01,ANY,ANY,ANY
0,0,442.1570883,332.1945653,588.5192328,Multi,PM02,ANY,ANY,ANY
